iter	RMSE
0	93.76301758
1	89.68711483
2	85.95957595
3	82.62817752
4	79.69973868
5	76.97753618
6	74.60663951
7	72.51908411
8	70.61783423
9	68.93310289
10	67.43295503
11	66.11215151
12	64.90872586
13	63.91701158
14	63.00088319
15	62.18219529
16	61.42296971
17	60.74777125
18	60.14645607
19	59.64109204
20	59.18995417
21	58.79316465
22	58.42583214
23	58.12301363
24	57.85409252
25	57.5874217
26	57.30954866
27	57.11387372
28	56.9192355
29	56.72990264
30	56.57886257
31	56.44509754
32	56.29040415
33	56.17602584
34	56.05519198
35	55.94527127
36	55.84941807
37	55.77492113
38	55.6734684
39	55.5864174
40	55.52113465
41	55.46088788
42	55.38479009
43	55.34112678
44	55.28816828
45	55.21732015
46	55.14623464
47	55.09371706
48	55.04824049
49	54.99712617
50	54.9292996
51	54.88193368
52	54.82777986
53	54.76946606
54	54.70814793
55	54.64704554
56	54.60174922
57	54.56154202
58	54.51447013
59	54.47244096
60	54.44167659
61	54.39519167
62	54.32604745
63	54.28324542
64	54.2413035
65	54.20373556
66	54.14689553
67	54.12142391
68	54.07167411
69	54.03040447
70	53.99553744
71	53.94329241
72	53.91655368
73	53.88280014
74	53.8380951
75	53.81106269
76	53.77585128
77	53.73911063
78	53.70095371
79	53.66561998
80	53.61476057
81	53.5886895
82	53.55194892
83	53.52276674
84	53.48980238
85	53.45886529
86	53.43683981
87	53.4071436
88	53.37608489
89	53.33135042
90	53.30859698
91	53.29068375
92	53.26527502
93	53.23947001
94	53.21550061
95	53.17148374
96	53.14086168
97	53.10191217
98	53.07991334
99	53.0630949
100	53.04665014
101	53.02207942
102	52.9965959
103	52.97472814
104	52.93950988
105	52.91235411
106	52.88074304
107	52.85160259
108	52.81775377
109	52.80074224
110	52.7661084
111	52.74968355
112	52.74147784
113	52.73119433
114	52.70726734
115	52.67870967
116	52.65413738
117	52.64419091
118	52.61445352
119	52.58707431
120	52.55618179
121	52.52311891
122	52.50306766
123	52.47583001
124	52.45180955
125	52.42504346
126	52.40133052
127	52.37429154
128	52.34486282
129	52.31867234
130	52.30007689
131	52.28028752
132	52.25106101
133	52.21288802
134	52.196609
135	52.16859614
136	52.14078226
137	52.1155274
138	52.09495278
139	52.07969297
140	52.05534878
141	52.02380518
142	51.99008209
143	51.95774002
144	51.92677743
145	51.92047427
146	51.90064138
147	51.89953416
148	51.85399999
149	51.83416635
150	51.80544439
151	51.80365378
152	51.79668227
153	51.78158806
154	51.7580498
155	51.72711221
156	51.71154962
157	51.68825731
158	51.66403755
159	51.62898545
160	51.60078225
161	51.56902693
162	51.55614615
163	51.53842977
164	51.51041527
165	51.47560499
166	51.45117932
167	51.43504309
168	51.41130034
169	51.40868812
170	51.37679943
171	51.3403954
172	51.32332867
173	51.30155545
174	51.26504905
175	51.21993295
176	51.20052921
177	51.17779121
178	51.151818
179	51.13281562
180	51.09858811
181	51.09704611
182	51.06120027
183	51.04151433
184	51.00802029
185	51.00699082
186	50.97214204
187	50.95016374
188	50.93463528
189	50.90988739
190	50.87894694
191	50.86210147
192	50.85904819
193	50.83640108
194	50.81129848
195	50.80222772
196	50.76592895
197	50.76274218
198	50.74362199
199	50.74173381
200	50.72880249
201	50.7048522
202	50.69867386
203	50.67213254
204	50.66441298
205	50.64675082
206	50.63117738
207	50.61607038
208	50.59035524
209	50.5720522
210	50.55174173
211	50.54204301
212	50.52184414
213	50.4969447
214	50.47207419
215	50.47120744
216	50.44506283
217	50.41137752
218	50.38719897
219	50.36327349
220	50.34090613
221	50.3219058
222	50.29230671
223	50.27367957
224	50.27104661
225	50.25155907
226	50.23600372
227	50.21711703
228	50.2160266
229	50.18578906
230	50.15599249
231	50.15428723
232	50.13706611
233	50.10614198
234	50.08601834
235	50.06979504
236	50.05281036
237	50.02594848
238	50.00771948
239	49.99557748
240	49.97472641
241	49.94969697
242	49.92692374
243	49.91372492
244	49.88585661
245	49.87096714
246	49.85559611
247	49.8420377
248	49.82040742
249	49.79854075
250	49.78240759
251	49.77832769
252	49.74109443
253	49.72864349
254	49.70588466
255	49.68594416
256	49.66519111
257	49.66461758
258	49.64794718
259	49.63714564
260	49.6174434
261	49.59466282
262	49.58019541
263	49.56929927
264	49.54891252
